,NIC_PT,NAME,NUI_PT,YEAR,AGECAT,SEXCAT,state
1204,1707860,Indiana,240742,2016,1,1,18
1205,1801807,Indiana,189774,2016,1,2,18
1212,1526938,Indiana,94730,2016,4,0,18
1216,2418293,Iowa,126746,2016,0,0,19
1217,1214676,Iowa,73136,2016,0,1,19
1218,1203617,Iowa,53610,2016,0,2,19
1219,1718437,Iowa,109007,2016,1,0,19
1220,856543,Iowa,63895,2016,1,1,19
1221,861894,Iowa,45112,2016,1,2,19
1228,734195,Iowa,19386,2016,4,0,19
1232,2169620,Kansas,239482,2016,0,0,20
1233,1083628,Kansas,129702,2016,0,1,20
1234,1085992,Kansas,109780,2016,0,2,20
1235,1495453,Kansas,209022,2016,1,0,20
1236,738031,Kansas,114151,2016,1,1,20
1237,757422,Kansas,94871,2016,1,2,20
1244,706324,Kansas,33332,2016,4,0,20
1248,3414007,Kentucky,218900,2016,0,0,21
1249,1683547,Kentucky,126743,2016,0,1,21
1250,1730460,Kentucky,92157,2016,0,2,21
1251,2458323,Kentucky,187826,2016,1,0,21
1252,1193553,Kentucky,110657,2016,1,1,21
1253,1264770,Kentucky,77169,2016,1,2,21
1260,1003130,Kentucky,33924,2016,4,0,21
1264,3429702,Louisiana,460244,2016,0,0,22
1265,1656494,Louisiana,254925,2016,0,1,22
1266,1773208,Louisiana,205319,2016,0,2,22
1267,2371081,Louisiana,426801,2016,1,0,22
1268,1117386,Louisiana,236981,2016,1,1,22
1269,1253695,Louisiana,189820,2016,1,2,22
1276,1110444,Louisiana,37285,2016,4,0,22
1280,941147,Maine,105736,2016,0,0,23
1281,461363,Maine,59395,2016,0,1,23
1282,479784,Maine,46341,2016,0,2,23
1283,704223,Maine,94219,2016,1,0,23
1284,339272,Maine,53788,2016,1,1,23
1285,364951,Maine,40431,2016,1,2,23
1292,249718,Maine,12557,2016,4,0,23
1296,4670972,Maryland,353248,2016,0,0,24
1297,2261538,Maryland,202266,2016,0,1,24
1298,2409434,Maryland,150982,2016,0,2,24
1299,3386002,Maryland,309923,2016,1,0,24
1300,1606949,Maryland,178631,2016,1,1,24
1301,1779053,Maryland,131292,2016,1,2,24
1308,1349460,Maryland,47655,2016,4,0,24
1312,5380246,Massachusetts,165417,2016,0,0,25
1313,2642907,Massachusetts,100458,2016,0,1,25
1314,2737339,Massachusetts,64959,2016,0,2,25
1315,4032654,Massachusetts,152686,2016,1,0,25
1316,1954340,Massachusetts,93884,2016,1,1,25
1317,2078314,Massachusetts,58802,2016,1,2,25
1324,1421591,Massachusetts,14300,2016,4,0,25
1328,7612826,Michigan,519190,2016,0,0,26
1329,3751364,Michigan,301370,2016,0,1,26
1330,3861462,Michigan,217820,2016,0,2,26
1331,5529086,Michigan,456420,2016,1,0,26
1332,2685320,Michigan,268748,2016,1,1,26
1333,2843766,Michigan,187672,2016,1,2,26
1340,2195206,Michigan,69704,2016,4,0,26
1344,4381792,Minnesota,220535,2016,0,0,27
1345,2196831,Minnesota,127993,2016,0,1,27
1346,2184961,Minnesota,92542,2016,0,2,27
1347,3151956,Minnesota,181003,2016,1,0,27
